work_package_id,workstream,sheet,task,planned_hours,owner,dependency,handoff,acceptance_evidence
EFT-011,Existing floor plan,Existing Floor Plan,Run sheet self-check and resolve drafting defects,1.0,CAD drafter,Existing-plan drafting complete,Checked existing plan,"No known gaps, duplicates, orphan tags, or unresolved silent conflicts"
EFT-012,Proposed floor plan,Proposed Floor Plan,"Develop confirmed wall, partition, circulation, and room geometry",2.5,CAD drafter,Confirmed BDPC design direction,Proposed geometry pass,Plan reflects only confirmed direction and aligns to the existing base
EFT-013,Proposed floor plan,Proposed Floor Plan,"Place kitchen, cabinet, appliance, island, and furniture content",2.0,CAD drafter,Approved asset/block basis,Proposed equipment pass,"Content is sourced, controlled, and coordinated to the confirmed layout"
EFT-014,Proposed floor plan,Proposed Floor Plan,"Coordinate openings, deck, stairs, railings, and transitions",1.5,CAD drafter,Confirmed proposal geometry,Envelope / transition pass,Connections are coordinated without structural or code certification claims
EFT-015,Proposed floor plan,Proposed Floor Plan,"Add dimensions, tags, notes, and proposal area graphics",1.0,CAD drafter,Proposed geometry stable,Annotated proposed plan,Graphics clearly distinguish existing and proposed conditions
EFT-016,Proposed floor plan,Proposed Floor Plan,Run sheet self-check and resolve drafting defects,1.0,CAD drafter,Proposed-plan drafting complete,Checked proposed plan,"No known coordination, tagging, or geometry defects remain"
EFT-017,Site / area plan,Site / Area Plan,"Establish non-survey base, orientation, footprint, and drawing basis",1.25,CAD drafter,Confirmed site/area input basis,Site base,Basis and limitations are visible and do not imply survey services
EFT-018,Site / area plan,Site / Area Plan,"Draft footprint, drive, walk, work limits, and agreed context",1.5,CAD drafter,Confirmed site direction,Site context pass,Agreed elements are shown and unsupported geometry is not invented
EFT-019,Site / area plan,Site / Area Plan,"Build area diagrams, closed polylines, and calculation labels",1.0,CAD drafter,Closed plan boundaries,Area calculation pass,"Area classes, units, exclusions, and source basis are explicit"
EFT-020,Site / area plan,Site / Area Plan,"Add north reference, labels, dimensions, notes, and legend",0.75,CAD drafter,Site graphics stable,Annotated site/area plan,Orientation and non-survey limitations are readable
EFT-021,Site / area plan,Site / Area Plan,Run sheet self-check and resolve drafting defects,0.5,CAD drafter,Site/area drafting complete,Checked site/area plan,"No known closure, label, or graphic hierarchy defects remain"
EFT-022,Integrated QA / check set,All sheets,"Cross-check shared geometry, orientation, dimensions, areas, tags, and revisions",1.5,CAD drafter / project lead,Three sheet drafts complete,Coordination checklist,Shared controls agree or discrepancies are documented
EFT-023,Integrated QA / check set,All sheets,"Run native open, dependency, viewport, page setup, and plot QA",1.5,CAD drafter,Licensed runtime,Native / plot QA record,Native files open and check PDFs plot through the controlled workflow
EFT-024,Integrated QA / check set,All sheets,Assemble and inspect the coordinated check-set package,1.0,Project lead,Internal QA passed,Three-sheet check set,"Package names, sheet order, revisions, and issue state are correct"
EFT-025,Integrated QA / check set,All sheets,Issue check set with one-response review instructions,1.0,Project lead,Check-set package approved internally,Client review handoff,BDPC receives one controlled package and consolidated-response guidance
EFT-026,Included review / final,All sheets,Triage one consolidated BDPC review response,0.5,Project lead / CAD drafter,One complete client response,Revision assignment list,"Every comment is assigned, clarified, accepted, or routed to change control"
EFT-027,Included review / final,All sheets,Incorporate included review revisions,2.0,CAD drafter,Consolidated review disposition,Revised native set,Authorized comments are incorporated and tracked
EFT-028,Included review / final,All sheets,"Run final native, plot, coordination, and package QA",1.5,CAD drafter / project lead,Revisions complete,Final QA record,Final native and PDF package passes the applicable acceptance checks
EFT-029,Included review / final,All sheets,"Issue final package, change summary, and unresolved-condition record",1.0,Project lead,Final QA passed and final payment due,Final delivery record,Controlled deliverables and closeout record are issued together
EFT-030,Managed reserve,All sheets,"Resolve in-scope evidence, geometry, or standards conflicts",2.0,CAD drafter / project lead,Only documented in-scope conflicts,Reserve-use record,Use is recorded against a named issue; unused time is not converted to extra scope
EFT-031,Managed reserve,All sheets,Recover from in-scope runtime or dependency friction,1.0,CAD drafter,Licensed-runtime issue within confirmed inputs,Dependency resolution record,Resolution is documented or escalated before the ceiling is exceeded
